	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
local_pct	122,785.621	142,613.697	0.004**	0.005**	77.800*	-14.210	0.006***	0.005**	0.123	0.143	0.004**	0.005**	122,785.621	142,613.697	0.004**	0.005**	77.800*	-14.210	0.006***	0.005**	0.123	0.143	0.004**	0.005**	122,785.621	142,613.697	0.004**	0.005**	77.800*	-14.210	0.006***	0.005**	0.123	0.143	0.004**	0.005**	122,785.621	142,613.697	0.004**	0.005**	77.800*	-14.210	0.006***	0.005**	0.123	0.143	0.004**	0.005**	122,785.621	142,613.697	0.004**	0.005**	77.800*	-14.210	0.006***	0.005**	0.123	0.143	0.004**	0.005**	122,785.621	142,613.697	0.004**	0.005**	77.800*	-14.210	0.006***	0.005**	0.123	0.143	0.004**	0.005**	122,785.621	142,613.697	0.004**	0.005**	77.800*	-14.210	0.006***	0.005**	0.123	0.143	0.004**	0.005**
	(98,866.696)	(96,889.234)	(0.002)	(0.002)	(31.464)	(71.811)	(0.002)	(0.002)	(0.099)	(0.097)	(0.002)	(0.002)	(98,866.696)	(96,889.234)	(0.002)	(0.002)	(31.464)	(71.811)	(0.002)	(0.002)	(0.099)	(0.097)	(0.002)	(0.002)	(98,866.696)	(96,889.234)	(0.002)	(0.002)	(31.464)	(71.811)	(0.002)	(0.002)	(0.099)	(0.097)	(0.002)	(0.002)	(98,866.696)	(96,889.234)	(0.002)	(0.002)	(31.464)	(71.811)	(0.002)	(0.002)	(0.099)	(0.097)	(0.002)	(0.002)	(98,866.696)	(96,889.234)	(0.002)	(0.002)	(31.464)	(71.811)	(0.002)	(0.002)	(0.099)	(0.097)	(0.002)	(0.002)	(98,866.696)	(96,889.234)	(0.002)	(0.002)	(31.464)	(71.811)	(0.002)	(0.002)	(0.099)	(0.097)	(0.002)	(0.002)	(98,866.696)	(96,889.234)	(0.002)	(0.002)	(31.464)	(71.811)	(0.002)	(0.002)	(0.099)	(0.097)	(0.002)	(0.002)
ln_tuition2		731,915.497		0.026***		698.671		0.026***		0.732		0.026***		731,915.497		0.026***		698.671		0.026***		0.732		0.026***		731,915.497		0.026***		698.671		0.026***		0.732		0.026***		731,915.497		0.026***		698.671		0.026***		0.732		0.026***		731,915.497		0.026***		698.671		0.026***		0.732		0.026***		731,915.497		0.026***		698.671		0.026***		0.732		0.026***		731,915.497		0.026***		698.671		0.026***		0.732		0.026***
		(1009437.796)		(0.007)		(683.726)		(0.007)		(1.009)		(0.007)		(1009437.796)		(0.007)		(683.726)		(0.007)		(1.009)		(0.007)		(1009437.796)		(0.007)		(683.726)		(0.007)		(1.009)		(0.007)		(1009437.796)		(0.007)		(683.726)		(0.007)		(1.009)		(0.007)		(1009437.796)		(0.007)		(683.726)		(0.007)		(1.009)		(0.007)		(1009437.796)		(0.007)		(683.726)		(0.007)		(1.009)		(0.007)		(1009437.796)		(0.007)		(683.726)		(0.007)		(1.009)		(0.007)
ln_fteug		26498916.169***		0.420***		-58,333.109		-0.580***		26.499***		0.420***		26498916.169***		0.420***		-58,333.109		-0.580***		26.499***		0.420***		26498916.169***		0.420***		-58,333.109		-0.580***		26.499***		0.420***		26498916.169***		0.420***		-58,333.109		-0.580***		26.499***		0.420***		26498916.169***		0.420***		-58,333.109		-0.580***		26.499***		0.420***		26498916.169***		0.420***		-58,333.109		-0.580***		26.499***		0.420***		26498916.169***		0.420***		-58,333.109		-0.580***		26.499***		0.420***
		(5010366.823)		(0.062)		(33,109.494)		(0.062)		(5.010)		(0.062)		(5010366.823)		(0.062)		(33,109.494)		(0.062)		(5.010)		(0.062)		(5010366.823)		(0.062)		(33,109.494)		(0.062)		(5.010)		(0.062)		(5010366.823)		(0.062)		(33,109.494)		(0.062)		(5.010)		(0.062)		(5010366.823)		(0.062)		(33,109.494)		(0.062)		(5.010)		(0.062)		(5010366.823)		(0.062)		(33,109.494)		(0.062)		(5.010)		(0.062)		(5010366.823)		(0.062)		(33,109.494)		(0.062)		(5.010)		(0.062)
ln_instruct_fte		21667093.139***		0.347***		-22,554.956		0.347***		21.667***		0.347***		21667093.139***		0.347***		-22,554.956		0.347***		21.667***		0.347***		21667093.139***		0.347***		-22,554.956		0.347***		21.667***		0.347***		21667093.139***		0.347***		-22,554.956		0.347***		21.667***		0.347***		21667093.139***		0.347***		-22,554.956		0.347***		21.667***		0.347***		21667093.139***		0.347***		-22,554.956		0.347***		21.667***		0.347***		21667093.139***		0.347***		-22,554.956		0.347***		21.667***		0.347***
		(4128773.760)		(0.044)		(19,106.886)		(0.044)		(4.129)		(0.044)		(4128773.760)		(0.044)		(19,106.886)		(0.044)		(4.129)		(0.044)		(4128773.760)		(0.044)		(19,106.886)		(0.044)		(4.129)		(0.044)		(4128773.760)		(0.044)		(19,106.886)		(0.044)		(4.129)		(0.044)		(4128773.760)		(0.044)		(19,106.886)		(0.044)		(4.129)		(0.044)		(4128773.760)		(0.044)		(19,106.886)		(0.044)		(4.129)		(0.044)		(4128773.760)		(0.044)		(19,106.886)		(0.044)		(4.129)		(0.044)
