	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																								
local_pct	-246,107.554**	-192,276.519**	-0.005**	-0.004*	-78.597*	-131.521**	-0.002	-0.004*	-0.246**	-0.192**	-0.005**	-0.004*	-246,107.554**	-192,276.519**	-0.005**	-0.004*	-78.597*	-131.521**	-0.002	-0.004*	-0.246**	-0.192**	-0.005**	-0.004*
	(82,233.252)	(66,574.991)	(0.002)	(0.001)	(36.524)	(49.702)	(0.002)	(0.001)	(0.082)	(0.067)	(0.002)	(0.001)	(82,233.252)	(66,574.991)	(0.002)	(0.001)	(36.524)	(49.702)	(0.002)	(0.001)	(0.082)	(0.067)	(0.002)	(0.001)
ln_tuition2		-1410012.966		-0.011		-89.282		-0.011		-1.410		-0.011		-1410012.966		-0.011		-89.282		-0.011		-1.410		-0.011
		(949,206.452)		(0.019)		(583.614)		(0.019)		(0.949)		(0.019)		(949,206.452)		(0.019)		(583.614)		(0.019)		(0.949)		(0.019)
ln_fteug		15122639.890***		0.485***		-14,590.517*		-0.515***		15.123***		0.485***		15122639.890***		0.485***		-14,590.517*		-0.515***		15.123***		0.485***
		(2779297.615)		(0.046)		(6,594.211)		(0.046)		(2.779)		(0.046)		(2779297.615)		(0.046)		(6,594.211)		(0.046)		(2.779)		(0.046)
ln_instruct_fte		13101903.498***		0.341***		5,827.152***		0.341***		13.102***		0.341***		13101903.498***		0.341***		5,827.152***		0.341***		13.102***		0.341***
		(3608359.047)		(0.035)		(1,229.966)		(0.035)		(3.608)		(0.035)		(3608359.047)		(0.035)		(1,229.966)		(0.035)		(3.608)		(0.035)
ln_stinccap		4108838.489		0.044		-3,650.812		0.044		4.109		0.044		4108838.489		0.044		-3,650.812		0.044		4.109		0.044
		(8940625.185)		(0.174)		(5,563.941)		(0.174)		(8.941)		(0.174)		(8940625.185)		(0.174)		(5,563.941)		(0.174)		(8.941)		(0.174)
stunemprate		390,247.995		0.003		24.810		0.003		0.390		0.003		390,247.995		0.003		24.810		0.003		0.390		0.003
		(208,371.192)		(0.005)		(109.594)		(0.005)		(0.208)		(0.005)		(208,371.192)		(0.005)		(109.594)		(0.005)		(0.208)		(0.005)
stbaabove_p		-263,583.539		-0.005		-66.670		-0.005		-0.264		-0.005		-263,583.539		-0.005		-66.670		-0.005		-0.264		-0.005
		(210,813.516)		(0.003)		(81.552)		(0.003)		(0.211)		(0.003)		(210,813.516)		(0.003)		(81.552)		(0.003)		(0.211)		(0.003)
ln_stcollage2		-1677332.425		-0.023		-739.046		-0.023		-1.677		-0.023		-1677332.425		-0.023		-739.046		-0.023		-1.677		-0.023
		(1458350.408)		(0.030)		(874.981)		(0.030)		(1.458)		(0.030)		(1458350.408)		(0.030)		(874.981)		(0.030)		(1.458)		(0.030)
