"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"tcaste","-.0141735",".0360981","-.3926374",".6980529","-.025606",".0388916","-.6583951",".5165511","","","","","","","","","","","","","","","",""
"tcaste2","-.0275548",".0427165","-.6450634",".5250051","-.0294604",".048494","-.607507",".5492201","","","","","","","","","","","","","","","",""
"tgen",".0339142",".047686",".7111985",".4838167",".0083609",".0548296",".1524894",".8800757","","","","","","","","","","","","","","","",""
"edu","-.0002479",".0048569","-.0510417",".9597147",".00887",".0049629","1.78726",".0865328","","","","","","","","","","","","","","","",""
"toenr",".000303",".0001844","1.643451",".1133279","-.0001178",".0002388","-.4934219",".6261996","","","","","","","","","","","","","","","",""
"dissch","-.002054",".0007542","-2.723399",".0118524","-.0014179",".000939","-1.510017",".1440937","","","","","","","","","","","","","","","",""
"frsc",".1108353",".1264782",".87632",".3895432",".0562603",".1595703",".3525738",".7274855","100.7074","83.85982","1.200902",".2438192",".1569019",".9039988",".1735642",".8636636","-.9393667",".4229501","-2.220987",".0360423",".280157",".1288624","2.174079",".039788"
"frobc","-.0058422",".1106125","-.0528171",".9583148","-.0380704",".1327269","-.2868325",".7767024",".7910631","77.63669",".0101893",".9919712",".2700352",".8951571",".3016624",".7655079","-.4745217",".4609764","-1.029384",".3135624",".0643426",".0804608",".7996766",".4317423"
"totpop","-.0000243",".0000102","-2.390257",".0250379","-.0000276",".0000198","-1.389788",".1773514","-.0024789",".0070104","-.353598",".7273403","-.0003609",".0001438","-2.510323",".0192073","6.48e-06",".0000622",".104173",".9178977","-2.64e-06",".0000183","-.1446555",".8861908"
"op","-.1660663",".0321807","-5.16043",".0000277","-.2164961",".0399781","-5.415371",".0000146","","","","","-.8220001",".1587001","-5.179581",".0000264","-.4599467",".138001","-3.332923",".0027791","-.1277652",".0610937","-2.0913",".0472623"
"density",".0010289",".0022892",".4494486",".6571408",".0032984",".0038587",".8547995",".4011149","5.680165","4.514276","1.258267",".2227869",".0023057",".0211315",".1091135",".9140197",".0301847",".019833","1.521943",".1410911",".0075725",".0034839","2.173579",".0398297"
"lit",".2279267",".172486","1.321421",".1988206","-.1209936",".2472033","-.4894499",".6289669","-242.6308","123.6258","-1.962622",".0637524","-.9123132","1.214029","-.7514754",".4596728","-1.268883",".8488129","-1.494891",".1479764","-.0063644",".1426564","-.0446134",".9647846"
"index","-.009917",".0162623","-.6098134",".5477162",".0056822",".0205709",".2762263",".784739","","","","","","","","","-.0446869",".0763879","-.5849996",".5640081",".0030106",".0169076",".17806",".8601703"
"elec",".0476747",".050727",".9398293",".3566687",".1020172",".052151","1.95619",".0621778","-4.504838","24.24973","-.1857686",".8544974",".5008154",".2760973","1.813909",".082215",".3025226",".1852403","1.633136",".1154927",".0359544",".0384006",".9362977",".3584466"
"phone",".0220493",".0389344",".5663181",".5764355",".0072463",".0483252",".1499478",".8820589","39.2964","18.33284","2.143498",".0445502",".0354857",".2360984",".1503005",".8817836","-.201105",".1309938","-1.535225",".1378076",".0222328",".0338403",".656991",".5174379"
