"","m2rdshocklvl","","","","m2neg","","","","m2pos","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"L.rdshocklvl","-.004186",".0050385","-.8308088",".4101117","","","","","","","",""
"L.ann_unempl",".001055",".0022636",".4660668",".643233",".0011195",".0022571",".496015",".6221014",".0008452",".0022635",".3734083",".7104553"
"2002.year","0",".",".",".","0",".",".",".","0",".",".","."
"2003.year",".0124749",".0027039","4.61361",".0000287",".0132892",".0030971","4.290801",".0000836",".0111374",".0027571","4.039585",".0001882"
"2004.year",".0164672",".004406","3.73743",".0004863",".0172231",".0043733","3.938239",".0002596",".0158534",".0039262","4.037887",".0001892"
"2005.year",".0200005",".0048662","4.110125",".0001501",".0197875",".0048406","4.087775",".0001613",".0197826",".0047476","4.166893",".000125"
"2006.year",".0131922",".0047803","2.759669",".008115",".0130207",".0047859","2.720661",".0089922",".0135391",".004859","2.786399",".0075603"
"2007.year",".0158512",".005395","2.938122",".005022",".0155476",".0054723","2.841122",".0065323",".0163663",".0055636","2.941703",".0049731"
"2008.year",".0222264",".0071227","3.120489",".0030242",".021947",".0072733","3.017466",".0040358",".0227069",".0072802","3.118975",".0030372"
"2009.year",".0310998",".0078087","3.982713",".0002255",".0311592",".0078284","3.980292",".0002273",".0312775",".0076714","4.077185",".0001669"
"2010.year",".0382529",".0093081","4.109632",".0001504",".0388123",".0091303","4.25094",".0000952",".0377062",".0090656","4.159275",".0001281"
"L.neg","","","","",".0027428",".0035482",".7730074",".4432311","","","",""
"L.pos","","","","","","","","",".0033477",".0035072",".9545258",".344503"
"_cons",".1194509",".0464013","2.574299",".0131178",".0817128",".0127031","6.432508","5.02e-08",".0837513",".013163","6.362643","6.44e-08"
"N","449","","","","450","","","","450","","",""
"r2",".1883713","","","",".1894552","","","",".1902772","","",""
"df_m","9","","","","9","","","","9","","",""
"df_r","49","","","","49","","","","49","","",""
"df_b","10","","","","10","","","","10","","",""
"df","","","","","","","","","","","",""
