"","all","","","","small","","",""
"","b","se","t","p","b","se","t","p"
"treat","-.7464217",".1819971","-4.101284",".0000759","-1.097237",".2599652","-4.220707",".0000852"
"bzone",".1288976",".1385674",".9302161",".3541584",".2330327",".2149753","1.083997",".282776"
"yy1","0",".",".",".","0",".",".","."
"yy2","1.533662",".1460249","10.50274","1.28e-18","1.247164",".1938355","6.434134","2.44e-08"
"yy3","1.470285",".1276567","11.51749","4.96e-21","1.252598",".1837363","6.817368","5.51e-09"
"yy4","1.894259",".1526098","12.41243","3.81e-23","2.020286",".1972667","10.2414","1.04e-14"
"yy5","0",".",".",".","0",".",".","."
"yy6","2.090211",".1190163","17.56239","1.03e-34","1.774937",".1730005","10.25972","9.75e-15"
"yy7","1.090127",".1137727","9.581618","1.97e-16","1.357652",".1837849","7.387177","5.97e-10"
"yy8","1.281878",".1755051","7.303934","3.57e-11","1.918787",".2633694","7.285534","8.88e-10"
"yy9","0",".",".",".","0",".",".","."
"yy10","0",".",".",".","0",".",".","."
"yy11","0",".",".",".","0",".",".","."
"_cons","-.1727892",".052953","-3.263068",".0014418","-.0038803",".077508","-.0500637",".9602407"
"N","833","","","","420","","",""
"r2",".2108104","","","",".2257158","","",""
"df_m","8","","","","8","","",""
"df_r","118","","","","59","","",""
"df_b","","","","","","","",""
"df","","","","","","","",""
