"","mathm1","","","","mathm2","","","","mathm3","","","","mathm4","","","","elam1","","","","elam2","","","","elam3","","","","elam4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"1.recquar","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"2.recquar","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"3.recquar","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"4.recquar","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"exposureN","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","",""
"1.recquar#c.exposureN","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","",""
"2.recquar#c.exposureN","-.0013821",".0043394","-.3185065",".7518003","-.0061396",".0105954","-.5794573",".5656131","","","","","","","","","-9.32e-06",".0032448","-.0028732",".9977222",".0007991",".0080091",".0997769",".9210326","","","","","","","",""
"3.recquar#c.exposureN","-.0125713",".0045237","-2.778962",".0083463","-.0250158",".0092834","-2.69469",".0103394","","","","","","","","","-.0072722",".003367","-2.159832",".0369933","-.0125024",".0070787","-1.766195",".0851904","","","","","","","",""
"4.recquar#c.exposureN","-.0137385",".004991","-2.752641",".0089268","-.0255758",".010359","-2.468934",".0180379","","","","","","","","","-.0057435",".0037575","-1.528525",".1344533","-.0247256",".0103134","-2.397429",".0213975","","","","","","","",""
"yearcenN","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"1.recquar#c.yearcenN","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"2.recquar#c.yearcenN","","","","","-.0017431",".0045934","-.3794934",".7063801","","","","","-.0016507",".0024179","-.6826926",".4988365","","","","",".001456",".0036649",".3972859",".6933227","","","","",".0013931",".0028054",".4965965",".6222613"
"3.recquar#c.yearcenN","","","","","-.0042353",".0036387","-1.163965",".2515098","","","","","-.0016404",".001176","-1.394845",".1709565","","","","","-.0006761",".0031119","-.2172797",".8291231","","","","",".001863",".0019723",".9445582",".3506998"
"4.recquar#c.yearcenN","","","","","-.0023878",".0045018","-.5304127",".5988332","","","","","-.0011131",".003825","-.2910044",".77259","","","","","-.0066441",".0049234","-1.349496",".1849599","","","","","-.0055482",".00474","-1.170502",".2489019"
"c.exposureN#c.yearcenN","","","","","0",".",".",".","","","","","","","","","","","","","0",".",".",".","","","","","","","",""
"1.recquar#c.exposureN#c.yearcenN","","","","","0",".",".",".","","","","","","","","","","","","","0",".",".",".","","","","","","","",""
"2.recquar#c.exposureN#c.yearcenN","","","","",".0019473",".0022604",".8614851",".3942369","","","","","","","","","","","","",".0011602",".0018194",".6376555",".5274242","","","","","","","",""
