"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","","","est10","","","","est11","","","","est12","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"incumbent",".0492806",".0550719",".8948413",".3716378","","","","","","","","","","","","","-.0210154",".0613619","-.3424827",".7322455","-.0216239",".0612897","-.3528141",".7244961","","","","","","","","","","","","","","","","","","","","","","","",""
"eyear","","","","",".1090299",".0611862","1.781936",".0758394","","","","","","","","","-.0784361",".0977717","-.8022371",".4230986","-.0671378",".0973554","-.6896155",".4910133","","","","","","","","","","","","","","","","","","","","","","","",""
"GDP_percapt1","","","","","","","","",".0035969",".0099827",".3603111",".7188852","","","","","","","","",".0236699",".0125561","1.88513",".0604589","","","","","","","","","","","","","","","","","","","","","","","",""
"epopt1","","","","","","","","","","","","","-.0505443",".0309463","-1.633287",".1035286","","","","","-.0852609",".0392169","-2.174084",".0305455","","","","","","","","","","","","","","","","","","","","","","","",""
"eyearXincumbent","","","","","","","","","","","","","","","","",".2657565",".1090115","2.437876",".0153983",".2523174",".1087733","2.319662",".0210864","","","","","","","","","","","","","","","","","","","","","","","",""
"winner","","","","","","","","","","","","","","","","","","","","","","","","","-6962.519","2838.76","-2.452662",".0183132","-10590.8","4641.681","-2.281674",".0275189","-41537.36","16311.29","-2.54654",".0145424","-99876.43","54694.3","-1.826085",".0747862","-2396.479","2063.327","-1.161464",".2518602","-.001533",".0026939","-.5690397",".5722897"
"post","","","","","","","","","","","","","","","","","","","","","","","","","-213.4229","328.9057","-.6488879",".5198617","-3025.937","884.1363","-3.422478",".001373","-844.0833","1832.194","-.4606954",".6473387","15921.25","4328.534","3.678209",".0006489","3740.064","717.3415","5.213784","5.01e-06","-.0117309",".0015547","-7.545518","2.11e-09"
"postXwinner","","","","","","","","","","","","","","","","","","","","","","","","","1108.287","539.6864","2.053577",".04613","780.2384","1096.283",".7117125",".4804864","53.15394","1928.74",".0275589",".9781415","-1920.43","5301.175","-.362265",".7189284","-1090.989","716.3054","-1.523078",".1350604","-.000712",".0017469","-.4075862",".6855997"
"ln_pop_90","","","","","","","","","","","","","","","","","","","","","","","","","24347.84","13593.81","1.791097",".0803183","63854.02","24622.57","2.593312",".0129413","216092.5","101755.4","2.123647",".0394926","1038166","548211.8","1.893731",".0650012","-16766.71","10138.04","-1.653842",".1054427","-.3168652",".0222","-14.27322","6.45e-18"
