"","pu1","","","","pu2","","","","pr1","","","","pr2","","","","to1","","","","to2","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"imp_post","-.1165891",".0708617","-1.645304",".1033572","","","","",".0610227",".0887633",".6874768",".4935308","","","","","-.0588043",".0542935","-1.083081",".2816341","","","",""
"imp_pre23","-.0006199",".0826197","-.0075027",".9940302","","","","",".0556292",".1005146",".5534445",".5813164","","","","",".0060046",".0709114",".0846776",".9327037","","","",""
"_Iyear_1970",".0000731",".041782",".0017493",".9986081","-.0052447",".0362077","-.1448494",".8851501","-.1255463",".0307916","-4.077293",".0000974","-.1331675",".0266944","-4.988587","2.90e-06","-.0869852",".0346426","-2.510932",".0138063","-.1000372",".0306766","-3.261023",".001563"
"_Iyear_1980","-.5085858",".0994595","-5.113498","1.74e-06","-.5450822",".0731658","-7.449956","5.19e-11","-.5957726",".1078842","-5.522334","3.14e-07","-.6751066",".0940055","-7.181565","1.83e-10","-.2244274",".0842349","-2.664304",".0091258","-.3182244",".0653705","-4.868014","4.72e-06"
"_Iyear_1990","-.6778518",".1091395","-6.210877","1.55e-08","-.7182136",".0854202","-8.408009","5.44e-13","-.80531",".1280802","-6.287545","1.10e-08","-.8791154",".1216426","-7.227038","1.48e-10","-.305787",".1010995","-3.024613",".0032354","-.4090761",".0826881","-4.947218","3.43e-06"
"_Isouth_1","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_IyeaXsou_1970_1",".2157519",".0650123","3.318631",".0013019",".2312351",".066684","3.467624",".0008038",".1991189",".0781546","2.547756",".012519",".2671641",".0971746","2.74932",".0072028",".1952578",".0528034","3.697824",".0003715",".2395793",".0568809","4.211943",".0000595"
"_IyeaXsou_1980_1",".3419964",".1139576","3.001085",".0034714",".3306059",".1729949","1.911072",".0591429",".9070879",".134131","6.762703","1.27e-09","1.062343",".3159395","3.362488",".0011313",".4206055",".0896734","4.690418","9.56e-06",".4894518",".1235153","3.962681",".0001472"
"_IyeaXsou_1990_1",".4256679",".1376138","3.093207",".0026295",".4081783",".2004097","2.03672",".0445838","1.065989",".1535519","6.942209","5.56e-10","1.213167",".3572674","3.395685",".0010163",".521026",".1203876","4.327904",".0000386",".5873659",".1509881","3.890147",".0001904"
"imp_post_south","","","","","-.142934",".0679398","-2.103833",".0381515","","","","","-.0417519",".1033694","-.4039098",".6872267","","","","","-.1285998",".0441795","-2.910849",".0045318"
"impost_4_south","","","","",".0842092",".1147192",".7340462",".4648077","","","","",".0282431",".2249388",".1255588",".9003581","","","","",".1066196",".0742332","1.43628",".1543517"
"imp_post_nonsouth","","","","","-.0797979",".0528935","-1.508653",".1348518","","","","",".1744313",".0860363","2.027414",".0455453","","","","",".037478",".0459938",".8148504",".4172854"
"impost_4_nonsouth","","","","",".0035846",".0614329",".0583505",".9535974","","","","","-.0408675",".0684436","-.5970969",".5519255","","","","",".0068703",".0418295",".164246",".8699018"
"_cons","10.51612",".0378639","277.7348","4.6e-135","10.51611",".038259","274.8664","1.2e-134","8.662058",".0440199","196.7758","1.8e-121","8.663267",".0442351","195.8462","2.8e-121","12.34588",".0316937","389.5367","2.0e-148","12.34601",".0323457","381.6891","1.3e-147"
"N","368","","","","368","","","","368","","","","368","","","","368","","","","368","","",""
"r2",".5448017","","","",".545613","","","",".3601376","","","",".3622439","","","",".1992739","","","",".2059919","","",""
"df_m","7","","","","9","","","","7","","","","9","","","","7","","","","9","","",""
"df_r","91","","","","91","","","","91","","","","91","","","","91","","","","91","","",""
"df_b","8","","","","10","","","","8","","","","10","","","","8","","","","10","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","",""
