"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"hwdifhsp","-1077.704","724.2947","-1.487935",".1433086","-124.105","104.9557","-1.182451",".2428511","-1293.353","474.233","-2.727252",".0088929","-534.2058","675.8246","-.7904503",".4331529","-45.26142","95.46698","-.4741054",".6375744","919.2212","431.4558","2.130511",".0382809"
"hwdifpov","-1011.221","2539.778","-.3981533",".6922827","392.9927","295.9754","1.327788",".1905281","-2290.602","1664.004","-1.376561",".1750357","1586.996","1307.184","1.214056",".2306658","-497.1919","361.7139","-1.374545",".1756563","-203.4153","610.8895","-.3329821",".7405978"
"hwdifblk","-6376.667","2379.082","-2.680305",".0100493","-152.99","183.4007","-.8341841",".4083096","-1751.699","1139.031","-1.537885",".1306433","-2952.492","1208.949","-2.442198",".0183315","-368.0432","186.471","-1.973729",".0541836","-1151.443","657.6973","-1.750719",".0863836"
"hwdifpsch","361.2764","32.64176","11.06792","8.24e-15","91.28898","7.211114","12.65948","6.55e-17","82.91983","16.36046","5.068308","6.39e-06","131.5032","26.23531","5.012451","7.73e-06","-41.94106","3.855709","-10.87765","1.50e-14","97.5054","15.9366","6.118331","1.65e-07"
"hwdifspec","5628.196","5047.454","1.115057",".270378","-237.8584","870.134","-.2733583",".7857506","-59.33847","2848.794","-.0208293",".9834681","5117.12","3333.156","1.535218",".1312963","-.788207","745.5754","-.0010572",".9991609","809.0613","1039.906",".7780142",".4403789"
"hwdifell","-235.231","1016.101","-.2315037",".8179076","133.7224","142.5306",".9382014",".352838","655.6552","581.3528","1.12781",".2650063","-985.0155","581.9614","-1.692579",".0970179","26.7324","134.7069",".1984486",".8435323","-66.32542","238.29","-.2783391",".7819476"
"hwdifcity","-224.7644","425.2606","-.5285334",".5995646","-111.4198","38.73662","-2.876344",".0059846","-340.8284","199.0586","-1.712201",".093314","399.0312","328.7575","1.213756",".2307797","-30.12913","52.00786","-.5793188",".5650832","-141.4184","75.09655","-1.883154",".0657466"
"hwdifothgeo","31.88895","433.7148",".0735252",".9416938","-96.97598","42.34011","-2.290404",".0264332","252.8964","227.8005","1.110166",".2724582","-192.7369","195.5954","-.9853855",".3293759","-87.39713","54.98684","-1.589419",".1185316","156.1026","72.8328","2.1433",".0371854"
"prop_pov","360.347","2080.12",".1732338",".8631961","-212.4769","288.7483","-.7358553",".4653996","179.2645","1217.611",".1472264",".88357","-205.5545","916.8845","-.224188",".8235626","-89.88653","198.5453","-.4527255",".6527861","689.0003","402.8394","1.71036",".0936564"
