"","empl_mf10","","",""
"","b","se","t","p"
"dtariff",".2741318",".1029587","2.662542",".0082225"
"agrsh90",".0317871",".0304429","1.044158",".2973497"
"tersh90",".033913",".0516193",".6569829",".5117536"
"soesh90",".09321",".0324095","2.876006",".0043498"
"avlight90",".1268465",".0899454","1.410261",".1596179"
"demplsh_m8290","-.7383999",".1234848","-5.97968","7.09e-09"
"emplsh_m90","-.2119695",".1215111","-1.744446",".0822236"
"_cons","-.6654703","11.35593","-.0586011",".9533133"
"N","277","","",""
"r2",".4688204","","",""
"df_m","7","","",""
"df_r","269","","",""
"df_b","","","",""
"df","","","",""
