"","fiss_nsoe","","",""
"","b","se","t","p"
"dtariff","-.4234783",".1490317","-2.841531",".0047973"
"agrsh90",".0155305",".0428113",".3627652",".7170357"
"tersh90",".000272",".0696227",".0039071",".9968852"
"soesh90","-.2263535",".0437855","-5.169595","4.29e-07"
"avlight90",".2281785",".1124065","2.029941",".0432448"
"fiss_nsoe95","-.5694026",".0475929","-11.96402","3.11e-27"
"_cons","22.72648","6.640291","3.422512",".0007067"
"N","307","","",""
"r2",".3888458","","",""
"df_m","6","","",""
"df_r","300","","",""
"df_b","","","",""
"df","","","",""
