"","compsh_nsoe","","",""
"","b","se","t","p"
"dtariff","-.162736",".0300845","-5.409301","1.28e-07"
"agrsh90",".0087498",".0100738",".8685666",".3857694"
"tersh90","-.0064949",".0170707","-.3804723",".7038606"
"soesh90","-.0344079",".0106537","-3.229651",".0013751"
"avlight90",".0091263",".0294806",".3095685",".7571012"
"compg_nsoe95","-.267444",".0805729","-3.319279",".0010123"
"_cons","2.568976","1.471149","1.746238",".0817797"
"N","311","","",""
"r2",".1970649","","",""
"df_m","6","","",""
"df_r","304","","",""
"df_b","","","",""
"df","","","",""
